date,quote
2025-03-10,0.6955
2025-03-11,0.6928
2025-03-12,0.6902
2025-03-13,0.6895
2025-03-14,0.6879
2025-03-15,0.6879
2025-03-16,0.6879
2025-03-17,0.6925
2025-03-18,0.68
2025-03-19,0.692
2025-03-20,0.6936
2025-03-21,0.6922
2025-03-22,0.6922
2025-03-23,0.6922
2025-03-24,0.6922
2025-03-25,0.7
2025-03-26,0.693
2025-03-27,0.6925
2025-03-28,0.6872
2025-03-29,0.6872
2025-03-30,0.6872
2025-03-31,0.6856
2025-04-01,0.687
2025-04-02,0.687
2025-04-03,0.6827
2025-04-04,0.67
2025-04-07,0.6494
2025-04-08,0.642
2025-04-09,0.6799
2025-04-10,0.6535
2025-04-11,0.686
2025-04-14,0.7042
2025-04-15,0.7
2025-04-16,0.7
2025-04-21,0.6949
2025-04-22,0.7065
2025-04-23,0.7192
2025-04-24,0.7185
2025-04-25,0.7199
2025-04-28,0.719
2025-04-29,0.7192
2025-04-30,0.715
2025-05-05,0.7127
2025-05-06,0.721
2025-05-07,0.725
2025-05-08,0.722
2025-05-09,0.7197
2025-05-12,0.7345
2025-05-13,0.728
2025-05-14,0.7314
2025-05-15,0.7273
2025-05-16,0.73
2025-05-19,0.7345
2025-05-20,0.729
2025-05-21,0.7272
2025-05-22,0.7324
2025-05-23,0.733
2025-05-26,0.7305
2025-05-27,0.7275
2025-05-28,0.733
2025-05-29,0.7318
2025-05-30,0.733
2025-06-02,0.7364
2025-06-03,0.7403
2025-06-04,0.7378
2025-06-05,0.7326
2025-06-06,0.7361
2025-06-09,0.743
2025-06-10,0.7445
2025-06-11,0.7416
2025-06-12,0.7394
2025-06-13,0.7339
2025-06-17,0.73
2025-06-18,0.7408
2025-06-19,0.739
2025-06-23,0.737
2025-06-24,0.744
2025-06-25,0.747
2025-06-26,0.745
2025-06-27,0.7462
2025-06-30,0.7414
2025-07-01,0.7375
2025-07-02,0.7396
2025-07-03,0.7401
2025-07-04,0.7424
2025-07-07,0.7355
2025-07-08,0.638
2025-07-10,0.6378
2025-07-11,0.639
